canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3,,^5.2,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID
transaction_id_number,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,ENTITY TYPE,3,ENTITY TYPE
back_reference_tran_id_number,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,CONTRIB ORGANIZATION NAME,4,CONTRIB ORGANIZATION NAME
back_reference_sched_name,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,CONTRIBUTOR LAST NAME,5,CONTRIBUTOR LAST NAME
entity_type,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,CONTRIBUTOR FIRST NAME,6,CONTRIBUTOR FIRST NAME
contributor_organization_name,7,CONTRIBUTOR ORGANIZATION NAME,7,CONTRIBUTOR ORGANIZATION NAME,7,CONTRIBUTOR ORGANIZATION NAME,7,CONTRIBUTOR ORGANIZATION NAME,7,CONTRIBUTOR ORGANIZATION NAME,7,CONTRIBUTOR ORGANIZATION NAME,7,CONTRIBUTOR ORGANIZATION NAME,7,CONTRIBUTOR ORGANIZATION NAME,7,CONTRIBUTOR ORGANIZATION NAME,7,CONTRIBUTOR ORGANIZATION NAME,7,CONTRIBUTOR ORGANIZATION NAME,7,CONTRIBUTOR ORGANIZATION NAME,7,CONTRIBUTOR ORGANIZATION NAME,7,CONTRIBUTOR ORGANIZATION NAME,7,CONTRIBUTOR ORGANIZATION NAME,7,CONTRIBUTOR ORGANIZATION NAME,7,CONTRIBUTOR MIDDLE NAME,7,CONTRIBUTOR MIDDLE NAME
contributor_last_name,8,CONTRIBUTOR LAST NAME,8,CONTRIBUTOR LAST NAME,8,CONTRIBUTOR LAST NAME,8,CONTRIBUTOR LAST NAME,8,CONTRIBUTOR LAST NAME,8,CONTRIBUTOR LAST NAME,8,CONTRIBUTOR LAST NAME,8,CONTRIBUTOR LAST NAME,8,CONTRIBUTOR LAST NAME,8,CONTRIBUTOR LAST NAME,8,CONTRIBUTOR LAST NAME,8,CONTRIBUTOR LAST NAME,8,CONTRIBUTOR LAST NAME,8,CONTRIBUTOR LAST NAME,8,CONTRIBUTOR LAST NAME,8,CONTRIBUTOR LAST NAME,8,CONTRIBUTOR PREFIX,8,CONTRIBUTOR PREFIX
contributor_first_name,9,CONTRIBUTOR FIRST NAME,9,CONTRIBUTOR FIRST NAME,9,CONTRIBUTOR FIRST NAME,9,CONTRIBUTOR FIRST NAME,9,CONTRIBUTOR FIRST NAME,9,CONTRIBUTOR FIRST NAME,9,CONTRIBUTOR FIRST NAME,9,CONTRIBUTOR FIRST NAME,9,CONTRIBUTOR FIRST NAME,9,CONTRIBUTOR FIRST NAME,9,CONTRIBUTOR FIRST NAME,9,CONTRIBUTOR FIRST NAME,9,CONTRIBUTOR FIRST NAME,9,CONTRIBUTOR FIRST NAME,9,CONTRIBUTOR FIRST NAME,9,CONTRIBUTOR FIRST NAME,9,CONTRIBUTOR SUFFIX,9,CONTRIBUTOR SUFFIX
contributor_middle_name,10,CONTRIBUTOR MIDDLE NAME,10,CONTRIBUTOR MIDDLE NAME,10,CONTRIBUTOR MIDDLE NAME,10,CONTRIBUTOR MIDDLE NAME,10,CONTRIBUTOR MIDDLE NAME,10,CONTRIBUTOR MIDDLE NAME,10,CONTRIBUTOR MIDDLE NAME,10,CONTRIBUTOR MIDDLE NAME,10,CONTRIBUTOR MIDDLE NAME,10,CONTRIBUTOR MIDDLE NAME,10,CONTRIBUTOR MIDDLE NAME,10,CONTRIBUTOR MIDDLE NAME,10,CONTRIBUTOR MIDDLE NAME,10,CONTRIBUTOR MIDDLE NAME,10,CONTRIBUTOR MIDDLE NAME,10,CONTRIBUTOR MIDDLE NAME,10,STREET  1,10,STREET  1
contributor_prefix,11,CONTRIBUTOR PREFIX,11,CONTRIBUTOR PREFIX,11,CONTRIBUTOR PREFIX,11,CONTRIBUTOR PREFIX,11,CONTRIBUTOR PREFIX,11,CONTRIBUTOR PREFIX,11,CONTRIBUTOR PREFIX,11,CONTRIBUTOR PREFIX,11,CONTRIBUTOR PREFIX,11,CONTRIBUTOR PREFIX,11,CONTRIBUTOR PREFIX,11,CONTRIBUTOR PREFIX,11,CONTRIBUTOR PREFIX,11,CONTRIBUTOR PREFIX,11,CONTRIBUTOR PREFIX,11,CONTRIBUTOR PREFIX,11,STREET  2,11,STREET  2
contributor_suffix,12,CONTRIBUTOR SUFFIX,12,CONTRIBUTOR SUFFIX,12,CONTRIBUTOR SUFFIX,12,CONTRIBUTOR SUFFIX,12,CONTRIBUTOR SUFFIX,12,CONTRIBUTOR SUFFIX,12,CONTRIBUTOR SUFFIX,12,CONTRIBUTOR SUFFIX,12,CONTRIBUTOR SUFFIX,12,CONTRIBUTOR SUFFIX,12,CONTRIBUTOR SUFFIX,12,CONTRIBUTOR SUFFIX,12,CONTRIBUTOR SUFFIX,12,CONTRIBUTOR SUFFIX,12,CONTRIBUTOR SUFFIX,12,CONTRIBUTOR SUFFIX,12,CITY,12,CITY
contributor_street_1,13,CONTRIBUTOR STREET  1,13,CONTRIBUTOR STREET  1,13,CONTRIBUTOR STREET  1,13,CONTRIBUTOR STREET  1,13,CONTRIBUTOR STREET  1,13,CONTRIBUTOR STREET  1,13,CONTRIBUTOR STREET  1,13,CONTRIBUTOR STREET  1,13,CONTRIBUTOR STREET  1,13,CONTRIBUTOR STREET  1,13,CONTRIBUTOR STREET  1,13,CONTRIBUTOR STREET  1,13,CONTRIBUTOR STREET  1,13,CONTRIBUTOR STREET  1,13,CONTRIBUTOR STREET  1,13,CONTRIBUTOR STREET  1,13,STATE,13,STATE
contributor_street_2,14,CONTRIBUTOR STREET  2,14,CONTRIBUTOR STREET  2,14,CONTRIBUTOR STREET  2,14,CONTRIBUTOR STREET  2,14,CONTRIBUTOR STREET  2,14,CONTRIBUTOR STREET  2,14,CONTRIBUTOR STREET  2,14,CONTRIBUTOR STREET  2,14,CONTRIBUTOR STREET  2,14,CONTRIBUTOR STREET  2,14,CONTRIBUTOR STREET  2,14,CONTRIBUTOR STREET  2,14,CONTRIBUTOR STREET  2,14,CONTRIBUTOR STREET  2,14,CONTRIBUTOR STREET  2,14,CONTRIBUTOR STREET  2,14,ZIP,14,ZIP
contributor_city,15,CONTRIBUTOR CITY,15,CONTRIBUTOR CITY,15,CONTRIBUTOR CITY,15,CONTRIBUTOR CITY,15,CONTRIBUTOR CITY,15,CONTRIBUTOR CITY,15,CONTRIBUTOR CITY,15,CONTRIBUTOR CITY,15,CONTRIBUTOR CITY,15,CONTRIBUTOR CITY,15,CONTRIBUTOR CITY,15,CONTRIBUTOR CITY,15,CONTRIBUTOR CITY,15,CONTRIBUTOR CITY,15,CONTRIBUTOR CITY,15,CONTRIBUTOR CITY,15,DATE OF EXPENDITURE,15,DATE OF EXPENDITURE
contributor_state,16,CONTRIBUTOR STATE,16,CONTRIBUTOR STATE,16,CONTRIBUTOR STATE,16,CONTRIBUTOR STATE,16,CONTRIBUTOR STATE,16,CONTRIBUTOR STATE,16,CONTRIBUTOR STATE,16,CONTRIBUTOR STATE,16,CONTRIBUTOR STATE,16,CONTRIBUTOR STATE,16,CONTRIBUTOR STATE,16,CONTRIBUTOR STATE,16,CONTRIBUTOR STATE,16,CONTRIBUTOR STATE,16,CONTRIBUTOR STATE,16,CONTRIBUTOR STATE,16,AMOUNT OF EXPENDITURE,16,AMOUNT OF EXPENDITURE
contributor_zip,17,CONTRIBUTOR ZIP,17,CONTRIBUTOR ZIP,17,CONTRIBUTOR ZIP,17,CONTRIBUTOR ZIP,17,CONTRIBUTOR ZIP,17,CONTRIBUTOR ZIP,17,CONTRIBUTOR ZIP,17,CONTRIBUTOR ZIP,17,CONTRIBUTOR ZIP,17,CONTRIBUTOR ZIP,17,CONTRIBUTOR ZIP,17,CONTRIBUTOR ZIP,17,CONTRIBUTOR ZIP,17,CONTRIBUTOR ZIP,17,CONTRIBUTOR ZIP,17,CONTRIBUTOR ZIP,17,SPACE HOLDER,17,INTERNAL USE ONLY
refund_date,18,REFUND DATE,18,REFUND DATE,18,REFUND DATE,18,REFUND DATE,18,REFUND DATE,18,REFUND DATE,18,REFUND DATE,18,REFUND DATE,18,REFUND DATE,18,REFUND DATE,18,REFUND DATE,18,REFUND DATE,18,REFUND DATE,18,REFUND DATE,18,REFUND DATE,18,REFUND DATE,18,TRAN ID,18,TRAN ID
refund_amount,19,REFUND AMOUNT,19,REFUND AMOUNT,19,REFUND AMOUNT,19,REFUND AMOUNT,19,REFUND AMOUNT,19,REFUND AMOUNT,19,REFUND AMOUNT,19,REFUND AMOUNT,19,REFUND AMOUNT,19,REFUND AMOUNT,19,REFUND AMOUNT,19,REFUND AMOUNT,19,REFUND AMOUNT,19,REFUND AMOUNT,19,REFUND AMOUNT,19,REFUND AMOUNT,19,BACK REF TRAN ID,19,BACK REF TRAN ID
memo_code,20,MEMO CODE,20,MEMO CODE,20,MEMO CODE,20,MEMO CODE,20,MEMO CODE,20,MEMO CODE,20,MEMO CODE,20,MEMO CODE,20,MEMO CODE,20,MEMO CODE,20,MEMO CODE,20,MEMO CODE,20,MEMO CODE,20,MEMO CODE,20,MEMO CODE,20,MEMO CODE,20,BACK REF SCHED NAME,20,BACK REF SCHED NAME
