canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3,,^5.2|5.1|5.0,,^5.2|5.1,,^3,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID
transaction_id_number,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,BACK REFERENCE TRAN ID,3,BACK REFERENCE TRAN ID,3,BACK REFERENCE TRAN ID,3,BACK REFERENCE TRAN ID
back_reference_tran_id_number,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,IND/NAME (Endorser/Guarantor),4,IND/NAME (Endorser/Guarantor),4,IND/NAME (Endorser/Guarantor),4,IND/NAME (Endorser/Guarantor)
guarantor_last_name,5,GUARANTOR LAST NAME,5,GUARANTOR LAST NAME,5,GUARANTOR LAST NAME,5,GUARANTOR LAST NAME,5,GUARANTOR LAST NAME,5,GUARANTOR LAST NAME,5,GUARANTOR LAST NAME,5,GUARANTOR LAST NAME,5,GUARANTOR LAST NAME,5,GUARANTOR LAST NAME,5,GUARANTOR LAST NAME,5,GUARANTOR LAST NAME,5,GUARANTOR LAST NAME,5,GUARANTOR LAST NAME,5,GUARANTOR LAST NAME,5,GUARANTOR LAST NAME,5,STREET 1,5,STREET 1,5,STREET 1,5,STREET 1
guarantor_first_name,6,GUARANTOR FIRST NAME,6,GUARANTOR FIRST NAME,6,GUARANTOR FIRST NAME,6,GUARANTOR FIRST NAME,6,GUARANTOR FIRST NAME,6,GUARANTOR FIRST NAME,6,GUARANTOR FIRST NAME,6,GUARANTOR FIRST NAME,6,GUARANTOR FIRST NAME,6,GUARANTOR FIRST NAME,6,GUARANTOR FIRST NAME,6,GUARANTOR FIRST NAME,6,GUARANTOR FIRST NAME,6,GUARANTOR FIRST NAME,6,GUARANTOR FIRST NAME,6,GUARANTOR FIRST NAME,6,STREET 2,6,STREET 2,6,STREET 2,6,STREET 2
guarantor_middle_name,7,GUARANTOR MIDDLE NAME,7,GUARANTOR MIDDLE NAME,7,GUARANTOR MIDDLE NAME,7,GUARANTOR MIDDLE NAME,7,GUARANTOR MIDDLE NAME,7,GUARANTOR MIDDLE NAME,7,GUARANTOR MIDDLE NAME,7,GUARANTOR MIDDLE NAME,7,GUARANTOR MIDDLE NAME,7,GUARANTOR MIDDLE NAME,7,GUARANTOR MIDDLE NAME,7,GUARANTOR MIDDLE NAME,7,GUARANTOR MIDDLE NAME,7,GUARANTOR MIDDLE NAME,7,GUARANTOR MIDDLE NAME,7,GUARANTOR MIDDLE NAME,7,CITY,7,CITY,7,CITY,7,CITY
guarantor_prefix,8,GUARANTOR PREFIX,8,GUARANTOR PREFIX,8,GUARANTOR PREFIX,8,GUARANTOR PREFIX,8,GUARANTOR PREFIX,8,GUARANTOR PREFIX,8,GUARANTOR PREFIX,8,GUARANTOR PREFIX,8,GUARANTOR PREFIX,8,GUARANTOR PREFIX,8,GUARANTOR PREFIX,8,GUARANTOR PREFIX,8,GUARANTOR PREFIX,8,GUARANTOR PREFIX,8,GUARANTOR PREFIX,8,GUARANTOR PREFIX,8,STATE,8,STATE,8,STATE,8,STATE
guarantor_suffix,9,GUARANTOR SUFFIX,9,GUARANTOR SUFFIX,9,GUARANTOR SUFFIX,9,GUARANTOR SUFFIX,9,GUARANTOR SUFFIX,9,GUARANTOR SUFFIX,9,GUARANTOR SUFFIX,9,GUARANTOR SUFFIX,9,GUARANTOR SUFFIX,9,GUARANTOR SUFFIX,9,GUARANTOR SUFFIX,9,GUARANTOR SUFFIX,9,GUARANTOR SUFFIX,9,GUARANTOR SUFFIX,9,GUARANTOR SUFFIX,9,GUARANTOR SUFFIX,9,ZIP,9,ZIP,9,ZIP,9,ZIP
guarantor_street_1,10,GUARANTOR STREET 1,10,GUARANTOR STREET 1,10,GUARANTOR STREET 1,10,GUARANTOR STREET 1,10,GUARANTOR STREET 1,10,GUARANTOR STREET 1,10,GUARANTOR STREET 1,10,GUARANTOR STREET 1,10,GUARANTOR STREET 1,10,GUARANTOR STREET 1,10,GUARANTOR STREET 1,10,GUARANTOR STREET 1,10,GUARANTOR STREET 1,10,GUARANTOR STREET 1,10,GUARANTOR STREET 1,10,GUARANTOR STREET 1,10,INDEMP,10,INDEMP,10,INDEMP,10,INDEMP
