canonical,^2,,^1,
form_type,1,FORM TYPE,1,FORM TYPE
filer_fec_cmte_id,2,FILER FEC CMTE ID,2,FEC COMMITTEE ID NUMBER
nat_party_cmtes,3,NAT PARTY CMTES %,3,NAT PARTY CMTES %
hse_sen_pty_cmtes,4,HSE/SEN PTY CMTES,4,HSE/SEN PTY CMTES MINIMUM FED %
hse_sen_pty_cmtes_percentage,5,HSE/SEN PTY CMTES PERCENTAGE,5,HSE/SEN PTY CMTES PERCENTAGE ESTIMATED FEDERAL CAN SUPPORT
hse_sen_pty_cmtes_percentage,6,HSE/SEN PTY CMTES PERCENTAGE,6,HSE/SEN PTY CMTES PERCENTAGE ESTIMATED NON-FEDERAL CAN SUPPORT
hse_sen_pty_cmtes,7,HSE/SEN PTY CMTES,7,HSE/SEN PTY CMTES ACTUAL FEDERAL CAN SUPPORT
hse_sen_pty_cmtes,8,HSE/SEN PTY CMTES,8,HSE/SEN PTY CMTES ACTUAL NON-FEDERAL CAN SUPPORT
hse_sen_pty_cmtes_percentage,9,HSE/SEN PTY CMTES PERCENTAGE,9,HSE/SEN PTY CMTES PERCENTAGE ACTUAL FEDERAL
sep_seg_funds_percentage,10,SEP. SEG FUNDS & PERCENTAGE,10,SEP SEG FUNDS & PERCENTAGE NON-CONNECTED CMTES ESTIMATED FEDERAL CANDIDATE SUPPORT
sep_seg_funds_percentage,11,SEP. SEG FUNDS & PERCENTAGE,11,SEP SEG FUNDS & PERCENTAGE NON-CONNECTED CMTES ESTIMATED NON-FEDERAL CANDIDATE SUPPORT
sep_seg_funds,12,SEP. SEG FUNDS &,12,SEP SEG FUNDS & NON-CONNECTED CMTES ACTUAL FEDERAL CANDIDATE SUPPORT
sep_seg_funds,13,SEP. SEG FUNDS &,13,SEP SEG FUNDS & NON-CONNECTED CMTES ACTUAL NON-FEDERAL CANDIDATE SUPPORT
sep_seg_funds_percentage,14,SEP. SEG FUNDS & PERCENTAGE,14,SEP SEG FUNDS & PERCENTAGE NON-CONNECTED CMTES ACTUAL FEDERAL CANDIDATE SUPPORT
s_1_ballot_comp_pres_blank_or_1,15,s_1. BALLOT COMP PRES BLANK OR 1,15,s_1 BALLOT COMP PRES BLANK OR 1
s_2_ballot_comp_sen_blank_or_1,16,s_2. BALLOT COMP SEN BLANK OR 1,16,s_2 BALLOT COMP SEN BLANK OR 1
s_3_ballot_comp_hse_blank_or_1,17,s_3. BALLOT COMP HSE BLANK OR 1,17,s_3 BALLOT COMP HSE BLANK OR 1
s_4_subtotal_fed,18,s_4. SUBTOTAL-FED,18,s_4 SUBTOTAL-FED
s_5_ballot_comp_gov_blank_or_1,19,s_5. BALLOT COMP GOV BLANK OR 1,19,s_5 BALLOT COMP GOV BLANK OR 1
s_6_other_statewide,20,s_6. OTHER STATEWIDE,20,s_6 OTHER STATEWIDE
s_7_state_senate,21,s_7. STATE SENATE,21,s_7 STATE SENATE
s_8_state_rep,22,s_8. STATE REP.,22,s_8 STATE REP
23_9_local_candidates_blank_1_or_2,23,23-9. LOCAL CANDIDATES BLANK, 1 OR 2,23,23-9 LOCAL CANDIDATES BLANK, 1 OR 2
s_10_extra_non_fed_point_blank_or_1,24,s_10. EXTRA NON-FED POINT BLANK OR 1,24,s_10 EXTRA NON-FED POINT BLANK OR 1
s_11_subtotal,25,s_11. SUBTOTAL,25,s_11 SUBTOTAL
s_12_total_points,26,s_12. TOTAL POINTS,26,s_12 TOTAL POINTS
federal_allocation_percentage,27,FEDERAL ALLOCATION PERCENTAGE,27,FEDERAL ALLOCATION PERCENTAGE
amended_cd,28,AMENDED-CD,28,AMENDED
tran_id,29,TRAN_ID,,
orig_tran_id,30,ORIG_TRAN_ID,,
supr_tran_id,31,SUPR_TRAN_ID,,
