canonical,^2,,^1,
form_type,1,FORM TYPE,1,FORM TYPE
filer_fec_cmte_id,2,FILER FEC CMTE ID,2,FEC COMMITTEE ID NUMBER
entity_type,3,ENTITY TYPE,3,SEQUENCE NUMBER
name_contributor_lender,4,NAME(Contributor/Lender),4,IND/NAME (CONTRIBUTOR)
street_1,5,STREET 1,5,STREET 1
street_2,6,STREET 2,6,STREET 2
city,7,CITY,7,CITY
state,8,STATE,8,STATE
zip,9,ZIP,9,ZIP
indemp,10,INDEMP,10,INDEMP
indocc,11,INDOCC,11,INDOCC
date_of_contribution,12,DATE (OF CONTRIBUTION),12,DATE (OF CONTRIBUTION)
amount_contribution_amount,13,AMOUNT CONTRIBUTION AMOUNT,13,AMOUNT CONTRIBUTION AMOUNT
fec_committee_id_number,14,FEC-COMMITTEE-ID-NUMBER,14,AMENDED
fec_candidate_id_number,15,FEC-CANDIDATE-ID-NUMBER,,
candidate_name,16,CANDIDATE-NAME,,
cand_office,17,CAND-OFFICE,,
cand_state_of_election,18,CAND-STATE (OF ELECTION),,
cand_district,19,CAND-DISTRICT,,
conduit_name,20,CONDUIT-NAME,,
conduit_street_1,21,CONDUIT-STREET-1,,
conduit_street_2,22,CONDUIT-STREET-2,,
conduit_city,23,CONDUIT-CITY,,
conduit_state,24,CONDUIT-STATE,,
conduit_zip,25,CONDUIT-ZIP,,
amended_cd,26,AMENDED-CD,,
tran_id,27,TRAN_ID,,
orig_tran_id,28,ORIG_TRAN_ID,,
supr_tran_id,29,SUPR_TRAN_ID,,
